,objectid,extendedness,ra,dec,mag_i,mag_g,mag_r
219,21326423885088756,1.0,54.0198088649581,-28.5963041670502,22.7345,24.8566,24.1678
220,21326423885088761,1.0,54.0598164544664,-28.5960199282146,23.2005,24.2252,23.5242
221,21326423885088780,0.0,54.1652846812775,-28.5952932689467,23.9013,24.7888,24.6552
222,21326423885088816,1.0,54.0274167968719,-28.5936768408369,22.9736,24.6153,23.5522
223,21326423885088847,1.0,54.0018269536103,-28.5927277570151,24.0032,25.2874,24.8216
224,21326423885088848,1.0,54.058500534305,-28.5925646340962,24.8634,24.6839,24.7025
225,21326423885088885,1.0,53.9776058271778,-28.5910001498659,22.2175,24.2246,23.1271
226,21326423885088890,0.0,53.9909840491585,-28.5911088968319,23.0257,23.5889,23.1935
227,21326423885088899,1.0,54.1137596751774,-28.5905948212561,22.9526,23.6122,23.5062
228,21326423885088929,0.0,53.9902865755714,-28.5896062214449,23.5325,23.7634,23.8886
229,21326423885088936,1.0,54.0695878679815,-28.5889636365527,23.4108,24.1852,24.0522
230,21326423885088944,1.0,54.0682107073766,-28.5887560330423,24.785,24.6234,24.8776
231,21326423885088947,1.0,54.0061878471755,-28.5886398741141,22.0629,23.6449,22.9708
232,21326423885088959,1.0,54.0145512094481,-28.5881604109603,23.5093,24.3313,24.1778
233,21326423885088960,1.0,53.9814932698284,-28.5881678253223,22.067,22.9572,22.3949
234,21326423885088962,1.0,54.133098266635,-28.5880566099468,23.2159,24.4354,23.9337
235,21326423885088975,1.0,53.9714548058031,-28.5876389354762,23.7365,24.5209,23.9362
236,21326423885089017,0.0,54.1203297838901,-28.585955897174,24.2004,25.2635,24.9205
237,21326423885089029,1.0,54.1025931447459,-28.5855011601703,23.3593,24.6932,23.5878
238,21326423885089056,1.0,54.0551210658964,-28.5842630003607,23.678,23.2537,23.6046
239,21326423885089062,1.0,54.0119714891283,-28.5841295468804,24.4906,24.1348,24.3459
240,21326423885089064,1.0,54.2077191630311,-28.5835636071512,22.6847,22.7904,22.9593
241,21326423885089096,1.0,54.0929143840568,-28.5828666899226,23.9527,24.9556,24.2471
242,21326423885089097,0.0,54.0681479216726,-28.5830495684647,24.7541,24.3279,24.6308
243,21326423885089121,0.0,54.0320519929822,-28.5821376502468,24.224,24.3743,24.4864
244,21326423885089144,1.0,54.0796977616835,-28.5812183260637,21.9356,23.1455,22.2554
245,21326423885089146,0.0,53.9762372180456,-28.5812702231826,24.2994,23.8859,24.2344
246,21326423885089151,1.0,54.1204224094458,-28.5808822310566,24.038,24.4191,24.4867
247,21326423885089166,1.0,54.0300051440774,-28.5803706767468,23.1359,24.2245,23.9053
248,21326423885089172,0.0,54.0343275743575,-28.5800345844485,24.0813,24.5298,24.4732
249,21326423885089177,1.0,54.0495797924303,-28.5797676883884,23.0155,24.1085,23.7651
250,21326423885089185,1.0,54.115343475574,-28.5794958505048,23.7916,24.7352,23.9905
251,21326423885089214,1.0,54.068429040821,-28.5781070170096,24.5022,25.3891,25.1747
252,21326423885089224,1.0,54.0655409694811,-28.5777388062224,22.1935,23.0984,22.39
253,21326423885089235,0.0,54.0738781076485,-28.577420020743,24.0218,25.0336,24.703
254,21326423885089245,0.0,54.0412803892313,-28.5770468699751,23.1269,24.4576,23.5392
255,21326423885089257,0.0,54.0835791061206,-28.576404361821,20.8847,22.9556,21.7121
256,21326423885089264,1.0,54.1148641319282,-28.576238793048,23.512,24.3094,23.6804
257,21326423885089327,1.0,53.9701419435564,-28.5744051980899,24.5552,25.3054,24.7316
258,21326423885089359,0.0,53.9849397453566,-28.5733154350962,24.7142,25.1115,25.1336
259,21326423885089363,0.0,54.1225733619154,-28.5727767355634,24.1091,24.3262,24.4737
260,21326423885089366,1.0,53.9829661217864,-28.5728904058774,22.1797,22.8464,22.6655
261,21326423885089385,0.0,54.0102641242762,-28.572082360877,24.3023,23.9254,24.217
262,21326423885089423,1.0,53.978925829135,-28.5707998801776,23.1602,23.9439,23.7692
263,21326423885089498,1.0,54.0393391519941,-28.5677061760447,22.4572,23.3138,23.0867
264,21326423885089537,1.0,54.1061613379632,-28.5664336324556,23.639,24.618,24.3493
265,21326423885089545,1.0,54.0119948324911,-28.5663990392525,24.2873,24.8379,24.8414
266,21326423885089562,1.0,54.0474956834809,-28.5658183693264,24.2409,25.2323,25.0116
267,21326423885089566,0.0,54.1221289363144,-28.565586102253,23.7664,24.8356,24.0575
268,21326423885089570,1.0,54.0382869470897,-28.5657096485048,24.3496,24.9733,24.4326
269,21326423885089620,0.0,54.0473847511925,-28.5638614117226,24.9118,24.4694,24.7685
270,21326423885089680,1.0,54.1204721457214,-28.5610693508621,24.5507,25.1222,24.7343
271,21326423885089713,1.0,53.9655480263575,-28.5598339493382,22.803,22.8868,23.0719
272,21326423885089722,1.0,53.9629352953075,-28.5595399259115,23.2119,23.8716,23.8586
273,21326423885089736,1.0,54.1151327469979,-28.5589914138149,23.5134,24.3455,24.1944
274,21326423885089748,1.0,54.0245831234256,-28.5586899804562,23.9066,24.7275,24.5288
275,21326423885089750,0.0,54.1532786118942,-28.5585120857643,24.373,25.3432,25.0918
276,21326423885089768,1.0,54.1671174469054,-28.5572421240582,22.75,23.7529,23.4392
277,21326423885089849,1.0,54.1140281840577,-28.554183407579,24.1523,24.5301,24.5155
278,21326423885089860,0.0,54.0779545828735,-28.5534323308535,22.9743,23.0439,23.2048
279,21326423885089864,1.0,54.152583381254,-28.5533878593733,24.2093,23.7797,24.1225
280,21326423885089894,1.0,54.1245255766286,-28.5519351346812,22.81,24.0418,23.6052
281,21326423885089924,1.0,54.031030754862,-28.5505120768645,22.1936,23.1415,22.8853
282,21326423885089931,1.0,54.064099637053,-28.5503465488185,22.8281,23.8281,23.4677
283,21326423885089990,1.0,54.1292588975172,-28.5480736527096,24.3059,24.7804,24.8141
284,21326423885090023,1.0,53.9661940395853,-28.5472089768532,23.923,25.2895,24.4126
285,21326423885090038,1.0,54.1349896170899,-28.5461244363153,23.7804,24.7245,24.2507
286,21326423885090050,0.0,53.9998474168804,-28.5458353920887,24.2526,25.3104,24.8296
287,21326423885090058,1.0,54.165094801687,-28.54514613598,24.0692,25.2104,24.784
288,21326423885090099,1.0,54.0120461082133,-28.5441974897871,24.3506,25.2888,24.9805
289,21326423885090119,0.0,54.1683019441956,-28.5428387666323,22.0317,22.3464,22.1014
290,21326423885090132,1.0,54.1099177276049,-28.5426436060186,23.8571,24.8437,24.0926
291,21326423885090169,0.0,54.1009313665917,-28.5408476512686,23.7643,23.3582,23.7188
292,21326423885090201,1.0,54.1611387953419,-28.5392221780425,21.9002,24.3652,23.0286
293,21326423885090218,1.0,54.1006050285002,-28.5387849349657,22.5345,23.876,23.3443
294,21326423885090261,1.0,54.1521107261427,-28.5370730346172,23.2393,24.1255,23.8901
295,21326423885090278,1.0,53.9966353534278,-28.5366975565863,24.4297,24.8568,24.791
296,21326423885090307,1.0,54.0254010574325,-28.5353833940151,23.9493,25.0743,24.2594
297,21326423885090367,1.0,54.0627491943397,-28.5327773494236,23.8854,24.8792,24.1538
298,21326423885090368,1.0,54.1495519835718,-28.5324562299055,23.1037,23.7918,23.6961
299,21326423885090375,1.0,54.1540903440227,-28.5320017239524,24.0069,24.8336,24.6709
300,21326423885090435,0.0,54.0476619571278,-28.5294254038842,23.4448,23.9492,23.858
301,21326423885090441,0.0,54.1304881496509,-28.5289956116514,21.8377,22.1694,21.9142
302,21326423885090453,1.0,54.0616945163435,-28.528610282174,23.0657,24.1456,23.5681
303,21326423885090486,0.0,53.9950444245328,-28.5274394820203,22.9295,23.8541,23.1026
304,21326423885090509,0.0,54.0582329824409,-28.5259179552609,23.1606,23.4886,23.2435
305,21326423885090535,0.0,54.0001231162415,-28.5248929130888,23.9574,23.586,23.9133
306,21326423885090549,0.0,54.0720592694605,-28.5239666787347,21.9509,24.3193,23.1555
307,21326423885090597,0.0,54.1883341452849,-28.5217709183388,24.5337,24.1629,24.459
308,21326423885090617,1.0,54.1396527340757,-28.5211806148511,23.1921,24.0504,23.79
309,21326423885090732,0.0,54.0603448523739,-28.5153098684056,22.4049,23.2743,22.6484
